"gene_name","sample_name","gene_family","aro_accession","drug_class","high_level_drug_class","resistance_mechanism","model_type","num_contigs","cutoff","contig_coverage_breadth","contig_percent_id","contig_species","num_reads","read_gene_id","read_coverage_breadth","read_coverage_depth","read_species","total_reads","rpm","dpm","collection_date","Season","Mobility_Score","Human_Associated","Risk_Rank_Score","Season_Mapped","Persistence_Score","RPI","ESKAPE"
"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Influent_WWTP_01_24_24_MH1_S480","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","ARO:3004480","rifamycin antibiotic","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","protein homolog",1,"Nudged",8.0034,98.95,"Bifidobacterium (chromosome)",568,"ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1",20.5,12.72,"Bifidobacterium dentium (chromosome): 144; ",15919570,37.87,0.85,"01_24_2024","Winter",0,TRUE,3,"Wet",0.69721473495663,3.69721473495663,"No"
"AxyY","Influent_WWTP_02_01_24_MH1_S340","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","macrolide antibiotic; aminoglycoside antibiotic; beta-lactam antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",28,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",32.31,0.19,"Aeromonas caviae (chromosome): 2; ",7704074,11.23,0.08,"02_01_2024","Winter",0,TRUE,3,"Wet",0.723608301506158,3.72360830150616,"No"
"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Influent_WWTP_02_01_24_MH1_S340","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","ARO:3004480","rifamycin antibiotic","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","protein homolog",0,"",NA,NA,"",82,"ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1",42.12,0.9,"Bifidobacterium bifidum (chromosome): 2; Bifidobacterium longum (chromosome): 1; ",7704074,32.89,0.36,"02_01_2024","Winter",0,TRUE,3,"Wet",0.69721473495663,3.69721473495663,"No"
"Klebsiella pneumoniae KpnH","Influent_WWTP_02_01_24_MH1_S340","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3004597","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem","peptide antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic; aminoglycoside antibiotic; macrolide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",9,"ARO:3004597|ID:3299|Name:Klebsiella_pneumoniae_KpnH|NCBI:ASTU01000063.1",49.38,0.41,"Raoultella planticola (chromosome): 2; Klebsiella huaxiensis (chromosome): 2; Enterobacter (chromosome): 1; ",7704074,3.61,0.16,"02_01_2024","Winter",0,TRUE,3,"Wet",0.417522245236988,3.41752224523699,"Yes"
"MexB","Influent_WWTP_02_01_24_MH1_S340","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","sulfonamide antibiotic; macrolide antibiotic; diaminopyrimidine antibiotic; beta-lactam antibiotic; phenicol antibiotic; tetracycline antibiotic; aminocoumarin antibiotic; peptide antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",36,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",55.27,0.48,"Aeromonas hydrophila (chromosome): 5; Pseudomonas mendocina (chromosome): 1; Aeromonas caviae (chromosome): 1; Aeromonas veronii (chromosome): 1; Enterobacter (chromosome): 1; ",7704074,14.44,0.19,"02_01_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"Yes"
"MexF","Influent_WWTP_02_01_24_MH1_S340","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","diaminopyrimidine antibiotic; phenicol antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",45,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",45.78,0.26,"Aeromonas caviae (chromosome): 2; Pseudomonas aeruginosa (chromosome): 1; ",7704074,18.05,0.1,"02_01_2024","Winter",0,TRUE,3,"Wet",0.685249484986982,3.68524948498698,"Yes"
"TLA-3","Influent_WWTP_02_01_24_MH1_S340","TLA beta-lactamase","ARO:3003204","fluoroquinolone antibiotic; monobactam; cephalosporin","beta-lactam antibiotic; fluoroquinolone antibiotic","antibiotic inactivation","protein homolog",0,"",NA,NA,"",2,"ARO:3003204|ID:2326|Name:TLA-3|NCBI:AP014611.1",32.47,0.32,"Aeromonas veronii (plasmid): 2; ",7704074,0.8,0.13,"02_01_2024","Winter",1,TRUE,2,"Wet",0.896551724209275,3.89655172420927,"No"
"mefJ","Influent_WWTP_02_01_24_MH1_S340","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3007049","macrolide antibiotic","macrolide antibiotic","antibiotic efflux","protein homolog",1,"Nudged",34.4221,99.27,"Unknown taxonomy (chromosome)",14,"ARO:3007049|ID:5748|Name:mefJ|NCBI:CP065927.1",64.74,1.48,"Streptococcus uberis (chromosome): 1; ",7704074,5.61,0.59,"02_01_2024","Winter",0,TRUE,3,"Wet",0.119666503274187,3.11966650327419,"No"
"mel","Influent_WWTP_02_01_24_MH1_S340","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","streptogramin antibiotic; macrolide antibiotic","antibiotic target protection","protein homolog",1,"Nudged",44.0887,95.53,"Unknown taxonomy (chromosome)",40,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",90.48,4.22,"Klebsiella pneumoniae (chromosome): 2; ",7704074,16.04,1.69,"02_01_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"Yes"
"oqxB","Influent_WWTP_02_01_24_MH1_S340","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003923","fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic","fluoroquinolone antibiotic; nitrofuran antibiotic; diaminopyrimidine antibiotic; tetracycline antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",15,"ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1",36.35,0.49,"Enterobacter cloacae (chromosome): 3; Aeromonas veronii (chromosome): 1; Parabacteroides distasonis (chromosome): 1; ",7704074,6.02,0.2,"02_01_2024","Winter",0,TRUE,3,"Wet",0.987951807231033,3.98795180723103,"Yes"
